ENSEMBL,SYMBOL,ENTREZID,biotype,geneloc,fc,P.Value,adj.P.Val,t
ENSG00000233485,RP3-467K16.2,NA,antisense,chr1:15653176-15670372,11.24807578,4.70E-77,2.44E-74,24.55702285
ENSG00000123124,WWP1,11059,protein_coding,chr8:87354967-87490649,-1.521580701,3.73E-76,1.80E-73,-24.32229739
ENSG00000121005,CRISPLD1,83690,protein_coding,chr8:75896750-75946793,6.602355665,4.05E-76,1.91E-73,24.31316001
ENSG00000163513,TGFBR2,7048,protein_coding,chr3:30647994-30735634,-1.629198617,1.90E-75,8.70E-73,-24.13828012
ENSG00000101347,SAMHD1,25939,protein_coding,chr20:35518632-35580246,-2.01191213,3.11E-75,1.37E-72,-24.08285704
ENSG00000113657,DPYSL3,1809,protein_coding,chr5:146770374-146889619,2.051809628,5.84E-75,2.48E-72,24.01184235
ENSG00000169385,RNASE2,6036,protein_coding,chr14:21423611-21424595,-8.55980117,1.93E-75,8.70E-73,-24.13686696
ENSG00000100095,SEZ6L,23544,protein_coding,chr22:26565440-26779562,14.93080101,5.06E-75,2.19E-72,24.02788078
ENSG00000233098,RP11-344E13.3,339260,antisense,chr17:20771746-20905589,5.695895319,8.77E-75,3.64E-72,23.96598372
ENSG00000114098,ARMC8,25852,protein_coding,chr3:137906109-138017231,-1.44143143,2.26E-74,9.22E-72,-23.85919879
ENSG00000145725,PPIP5K2,23262,protein_coding,chr5:102455853-102548500,-1.749886017,2.55E-74,1.00E-71,-23.84575945
ENSG00000174437,ATP2A2,488,protein_coding,chr12:110718561-110788898,-1.873935317,2.50E-74,9.99E-72,-23.84799333
ENSG00000011105,TSPAN9,10867,protein_coding,chr12:3186521-3395730,1.865672942,5.75E-74,2.21E-71,23.75441653
ENSG00000035862,TIMP2,7077,protein_coding,chr17:76849059-76921469,1.632806686,1.30E-73,4.90E-71,23.66287179
ENSG00000165732,DDX21,9188,protein_coding,chr10:70715884-70744829,-1.595397677,2.84E-73,1.05E-70,-23.57515165
ENSG00000103316,CRYM,1428,protein_coding,chr16:21250195-21314404,2.419817745,3.77E-73,1.38E-70,23.54310017
ENSG00000137501,SYTL2,54843,protein_coding,chr11:85405267-85522184,2.403994339,5.24E-73,1.88E-70,23.50630834
ENSG00000153339,TRAPPC8,22878,protein_coding,chr18:29409136-29533099,-1.337203901,7.12E-73,2.51E-70,-23.47187316
ENSG00000106809,OGN,4969,protein_coding,chr9:95146249-95166978,4.006369745,2.41E-72,8.35E-70,23.33525445
ENSG00000011405,PIK3C2A,5286,protein_coding,chr11:17099277-17229530,-1.611439023,2.83E-72,9.64E-70,-23.31740204
ENSG00000162434,JAK1,3716,protein_coding,chr1:65298912-65432187,-1.551203753,4.84E-72,1.62E-69,-23.25726528
ENSG00000171385,KCND3,3752,protein_coding,chr1:112313284-112531777,-2.092047143,5.34E-72,1.76E-69,-23.24637319
ENSG00000171703,TCEA2,6919,protein_coding,chr20:62681189-62703700,1.655873894,1.01E-71,3.26E-69,23.17564064
ENSG00000101825,MXRA5,25878,protein_coding,chrX:3226606-3264682,6.434635633,1.25E-71,3.99E-69,23.15150742
ENSG00000152086,TUBA3E,112714,protein_coding,chr2:130949318-130956034,-6.600911214,3.38E-71,1.06E-68,-23.04020732
ENSG00000069122,GPR116,221395,protein_coding,chr6:46820249-46922680,-1.874654474,6.42E-71,1.99E-68,-22.96868406
ENSG00000132561,MATN2,4147,protein_coding,chr8:98881068-99048944,2.652519598,1.01E-70,3.07E-68,22.91865924
ENSG00000114654,EFCC1,79825,protein_coding,chr3:128720472-128759585,2.596414811,1.61E-70,4.85E-68,22.86629319
ENSG00000096060,FKBP5,2289,protein_coding,chr6:35541362-35696360,-4.071836504,7.69E-70,2.28E-67,-22.69222463
ENSG00000118855,MFSD1,64747,protein_coding,chr3:158449987-158547508,-1.453339882,1.05E-69,3.07E-67,-22.65763122
ENSG00000168615,ADAM9,8754,protein_coding,chr8:38854388-38962663,-1.662679699,1.08E-69,3.13E-67,-22.65396292
ENSG00000205795,CYS1,192668,protein_coding,chr2:10196907-10221071,3.445004865,1.20E-69,3.40E-67,22.6427034
ENSG00000186298,PPP1CC,5501,protein_coding,chr12:111157485-111180744,-1.512060903,1.21E-69,3.40E-67,-22.64164085
ENSG00000260807,RP11-161M6.2,64788,lincRNA,chr16:1025761-1031596,2.84977597,1.56E-69,4.31E-67,22.61382892
ENSG00000051382,PIK3CB,5291,protein_coding,chr3:138372860-138553780,-1.430015484,1.65E-69,4.50E-67,-22.60758857
ENSG00000164168,TMEM184C,55751,protein_coding,chr4:148538534-148593195,-1.392017999,2.70E-69,7.30E-67,-22.5524405
ENSG00000120910,PPP3CC,5533,protein_coding,chr8:22298332-22398652,-1.549644434,4.51E-69,1.20E-66,-22.49570032
ENSG00000213341,CHUK,1147,protein_coding,chr10:101948055-101989376,-1.487621219,5.84E-69,1.54E-66,-22.46687205
ENSG00000001561,ENPP4,22875,protein_coding,chr6:46097730-46114436,-1.633930053,6.63E-69,1.72E-66,-22.45282449
ENSG00000143942,CHAC2,494143,protein_coding,chr2:53994929-54002333,-2.606760738,8.11E-69,2.08E-66,-22.430437
ENSG00000162881,OXER1,165140,protein_coding,chr2:42989642-42991401,3.407208167,8.50E-69,2.15E-66,22.42530506
ENSG00000125534,PPDPF,79144,protein_coding,chr20:62152077-62153559,2.288461441,4.56E-68,1.14E-65,22.23898384
ENSG00000182197,EXT1,2131,protein_coding,chr8:118806729-119124092,1.783998935,8.51E-68,2.08E-65,22.16996683
ENSG00000228794,RP11-206L10.11,643837,processed_transcript,chr1:762988-794826,-1.78265787,1.28E-67,3.10E-65,-22.12453162
ENSG00000228109,MFI2-AS1,100507057,antisense,chr3:196726331-196731615,3.163511763,6.58E-68,1.63E-65,22.19851106
ENSG00000020181,GPR124,25960,protein_coding,chr8:37641709-37702414,1.756953869,1.95E-67,4.65E-65,22.07838589
ENSG00000123243,ITIH5,80760,protein_coding,chr10:7601232-7708961,2.825518962,3.14E-67,7.42E-65,22.02547525
ENSG00000016391,CHDH,55349,protein_coding,chr3:53846362-53880417,-3.101536365,3.70E-67,8.64E-65,-22.00740128
ENSG00000267577,CTD-2587H24.5,NA,antisense,chr19:55670307-55688908,4.493233576,3.83E-67,8.78E-65,22.00351624
ENSG00000113916,BCL6,604,protein_coding,chr3:187439165-187463515,-1.905311505,3.85E-67,8.78E-65,-22.00314723
ENSG00000135241,PNPLA8,50640,protein_coding,chr7:108110866-108210110,-1.416423602,4.04E-67,9.13E-65,-21.99768506
ENSG00000091831,ESR1,2099,protein_coding,chr6:151977826-152450754,2.625666552,4.48E-67,1.00E-64,21.98629763
ENSG00000162576,MXRA8,54587,protein_coding,chr1:1288069-1297157,2.227380092,7.06E-67,1.56E-64,21.93601723
ENSG00000075886,TUBA3D,113457,protein_coding,chr2:132233666-132240507,-6.35715516,9.65E-67,2.11E-64,-21.90156809
ENSG00000114686,MRPL3,11222,protein_coding,chr3:131181056-131221827,-1.356376062,1.31E-66,2.84E-64,-21.86756426
ENSG00000138709,LARP1B,55132,protein_coding,chr4:128982423-129144086,-1.498496961,2.55E-66,5.43E-64,-21.7942146
ENSG00000123505,AMD1,262,protein_coding,chr6:111195973-111216916,-1.890780004,2.56E-66,5.43E-64,-21.79377076
ENSG00000075618,FSCN1,6624,protein_coding,chr7:5632439-5646286,2.3841591,3.31E-66,6.95E-64,21.76547754
ENSG00000213722,DDAH2,23564,protein_coding,chr6:31694815-31698394,1.864715561,3.75E-66,7.79E-64,21.75174553
ENSG00000176018,LYSMD3,116068,protein_coding,chr5:89811428-89825401,-1.497032149,1.07E-65,2.19E-63,-21.6364244
ENSG00000109606,DHX15,1665,protein_coding,chr4:24519064-24586173,-1.36429932,1.47E-65,3.00E-63,-21.60098679
ENSG00000197616,MYH6,4624,protein_coding,chr14:23851199-23877486,-7.785109829,1.94E-65,3.88E-63,-21.57043489
ENSG00000143768,LEFTY2,7044,protein_coding,chr1:226124298-226129189,7.413477344,1.75E-65,3.54E-63,21.58159416
ENSG00000115602,IL1RL1,9173,protein_coding,chr2:102927962-102968497,-14.30586564,3.99E-65,7.91E-63,-21.49100813
ENSG00000137878,GCOM1,145781,protein_coding,chr15:57884106-58006943,-2.468314743,4.41E-65,8.65E-63,-21.47999655
ENSG00000138071,ACTR2,10097,protein_coding,chr2:65454887-65498387,-1.332664415,4.76E-65,9.24E-63,-21.47175904
ENSG00000134851,TMEM165,55858,protein_coding,chr4:56262124-56319564,-1.488791371,5.36E-65,1.03E-62,-21.4586884
ENSG00000167371,PRRT2,112476,protein_coding,chr16:29823177-29827201,2.696286906,7.63E-65,1.45E-62,21.41977191
ENSG00000096063,SRPK1,6732,protein_coding,chr6:35800743-35889119,-1.321112522,1.12E-64,2.12E-62,-21.37751945
ENSG00000133800,LYVE1,10894,protein_coding,chr11:10578513-10633236,-3.544721617,1.19E-64,2.22E-62,-21.37120068
ENSG00000085063,CD59,966,protein_coding,chr11:33719807-33757991,-1.412142303,1.96E-64,3.64E-62,-21.31601455
ENSG00000120820,GLT8D2,83468,protein_coding,chr12:104382762-104457961,2.014733793,3.36E-64,6.12E-62,21.25684637
ENSG00000164209,SLC25A46,91137,protein_coding,chr5:110073837-110100857,-1.399889079,3.84E-64,6.93E-62,-21.24215605
ENSG00000157368,IL34,146433,protein_coding,chr16:70613798-70694585,2.996724365,3.32E-64,6.10E-62,21.25811091
ENSG00000175220,ARHGAP1,392,protein_coding,chr11:46698630-46722165,1.627551161,5.49E-64,9.83E-62,21.20287062
ENSG00000185716,C16orf52,730094,protein_coding,chr16:22018959-22098855,-1.356115904,7.54E-64,1.34E-61,-21.16794573
ENSG00000061676,NCKAP1,10787,protein_coding,chr2:183773843-183903586,-1.413603865,9.30E-64,1.64E-61,-21.14497603
ENSG00000184005,ST6GALNAC3,256435,protein_coding,chr1:76540404-77100286,-2.462956925,1.50E-63,2.60E-61,-21.09250229
ENSG00000158869,FCER1G,2207,protein_coding,chr1:161185024-161190489,-1.902388543,1.60E-63,2.75E-61,-21.08546347
ENSG00000004468,CD38,952,protein_coding,chr4:15779898-15854853,-2.995014212,1.82E-63,3.09E-61,-21.07109857
ENSG00000117152,RGS4,5999,protein_coding,chr1:163038565-163046592,3.989778484,1.84E-63,3.09E-61,21.06971625
ENSG00000196632,WNK3,65267,protein_coding,chrX:54219256-54385075,-3.796135856,1.29E-63,2.25E-61,-21.10934078
ENSG00000123572,NRK,203447,protein_coding,chrX:105066536-105202602,3.442815626,1.96E-63,3.24E-61,21.06281652
ENSG00000106624,AEBP1,165,protein_coding,chr7:44143960-44154161,3.245325416,1.93E-63,3.20E-61,21.06496191
ENSG00000149633,KIAA1755,85449,protein_coding,chr20:36838890-36889174,3.025818973,2.22E-63,3.60E-61,21.04939207
ENSG00000143387,CTSK,1513,protein_coding,chr1:150768684-150780799,2.280231043,2.52E-63,4.03E-61,21.03548741
ENSG00000116962,NID1,4811,protein_coding,chr1:236139130-236228462,-2.019811741,2.40E-63,3.87E-61,-21.04081108
ENSG00000180398,MCFD2,90411,protein_coding,chr2:47129009-47168994,-1.485870984,2.64E-63,4.18E-61,-21.03056283
ENSG00000185614,FAM212A,389119,protein_coding,chr3:49840687-49842463,2.78390038,1.84E-63,3.09E-61,21.07000772
ENSG00000144034,TPRKB,51002,protein_coding,chr2:73956231-73964527,-1.54764826,4.66E-63,7.33E-61,-20.96807183
ENSG00000180773,SLC36A4,120103,protein_coding,chr11:92877341-92931130,-1.932640588,5.80E-63,9.06E-61,-20.94404543
ENSG00000198768,APCDD1L,164284,protein_coding,chr20:57034157-57090187,9.234870642,2.20E-63,3.60E-61,21.05033273
ENSG00000172638,EFEMP2,30008,protein_coding,chr11:65633912-65641063,1.502095888,1.06E-62,1.63E-60,20.87829222
ENSG00000146540,C7orf50,84310,protein_coding,chr7:1036622-1177896,1.740632432,1.32E-62,2.01E-60,20.8540863
ENSG00000119650,IFT43,112752,protein_coding,chr14:76368479-76550928,1.569173962,1.45E-62,2.19E-60,20.84392694
ENSG00000223764,RP11-54O7.3,100130417,lincRNA,chr1:852245-856396,5.19789251,7.90E-63,1.22E-60,20.91022131
ENSG00000196850,PPTC7,160760,protein_coding,chr12:110969120-111021125,-1.615973772,2.28E-62,3.43E-60,-20.79398465
ENSG00000145020,AMT,275,protein_coding,chr3:49454211-49460186,1.640186049,2.48E-62,3.69E-60,20.78478506
ENSG00000162511,LAPTM5,7805,protein_coding,chr1:31205316-31230667,-1.85568246,2.49E-62,3.69E-60,-20.78442925
ENSG00000103404,USP31,57478,protein_coding,chr16:23072727-23160591,-1.789154856,3.46E-62,5.11E-60,-20.74818128
ENSG00000143153,ATP1B1,481,protein_coding,chr1:169074935-169101960,-1.605772076,4.93E-62,7.22E-60,-20.70947917
ENSG00000116750,UCHL5,51377,protein_coding,chr1:192981380-193029237,-1.323276348,8.30E-62,1.20E-59,-20.65251713
ENSG00000151116,UEVLD,55293,protein_coding,chr11:18551156-18610294,-1.381578479,1.35E-61,1.93E-59,-20.59903837
ENSG00000138600,SPPL2A,84888,protein_coding,chr15:50999506-51058005,-1.551566416,1.35E-61,1.93E-59,-20.59961476
ENSG00000143110,C1orf162,128346,protein_coding,chr1:112016414-112021134,-1.989546639,1.55E-61,2.19E-59,-20.58441497
ENSG00000144406,UNC80,285175,protein_coding,chr2:210636717-210864024,7.590460846,6.33E-62,9.20E-60,20.68219185
ENSG00000144724,PTPRG,5793,protein_coding,chr3:61547243-62283288,-1.580373091,1.80E-61,2.53E-59,-20.56780528
ENSG00000008311,AASS,10157,protein_coding,chr7:121715701-121784334,-2.250942415,2.13E-61,2.96E-59,-20.5495942
ENSG00000152527,PLEKHH2,130271,protein_coding,chr2:43864412-43995126,2.732532891,2.55E-61,3.53E-59,20.52971631
ENSG00000172469,MANEA,79694,protein_coding,chr6:96025419-96057333,-1.808815468,2.74E-61,3.77E-59,-20.52181136
ENSG00000142920,ADC,113451,protein_coding,chr1:33546705-33586131,2.733731006,3.44E-61,4.71E-59,20.49686967
ENSG00000135318,NT5E,4907,protein_coding,chr6:86159809-86205500,2.549287019,4.76E-61,6.42E-59,20.46140446
ENSG00000144909,OSBPL11,114885,protein_coding,chr3:125247702-125313934,-1.696114585,4.57E-61,6.20E-59,-20.465921
ENSG00000004777,ARHGAP33,115703,protein_coding,chr19:36265434-36279724,1.945673462,5.23E-61,7.01E-59,20.451103
ENSG00000172458,IL17D,53342,protein_coding,chr13:21276266-21297237,2.748379981,6.13E-61,8.16E-59,20.43376946
ENSG00000122126,OCRL,4952,protein_coding,chrX:128673826-128726538,-1.46969421,6.65E-61,8.80E-59,-20.42484059
ENSG00000139289,PHLDA1,22822,protein_coding,chr12:76419227-76427712,3.145967881,8.31E-61,1.09E-58,20.40050776
ENSG00000099968,BCL2L13,23786,protein_coding,chr22:18111621-18213388,-1.554367664,8.08E-61,1.06E-58,-20.40353435
ENSG00000107036,KIAA1432,57589,protein_coding,chr9:5629025-5776557,-1.430171183,1.02E-60,1.33E-58,-20.37800079
ENSG00000188157,AGRN,375790,protein_coding,chr1:955503-991496,1.988580126,1.13E-60,1.45E-58,20.36722186
ENSG00000103342,GSPT1,2935,protein_coding,chr16:11961985-12009939,-1.275419628,1.07E-60,1.38E-58,-20.37327836
ENSG00000134046,MBD2,8932,protein_coding,chr18:51679079-51751158,-1.38075811,1.19E-60,1.52E-58,-20.36122984
ENSG00000164032,H2AFZ,3015,protein_coding,chr4:100869243-100871545,-1.44136802,1.45E-60,1.84E-58,-20.33975867
ENSG00000138592,USP8,9101,protein_coding,chr15:50716577-50793280,-1.329162286,1.89E-60,2.39E-58,-20.31042941
ENSG00000173598,NUDT4,11163,protein_coding,chr12:93771659-93797024,-2.015477266,2.08E-60,2.61E-58,-20.30007717
ENSG00000156313,RPGR,6103,protein_coding,chrX:38128416-38186817,-2.009746507,2.99E-60,3.72E-58,-20.26066711
ENSG00000138768,USO1,8615,protein_coding,chr4:76649777-76735382,-1.3163145,4.52E-60,5.59E-58,-20.21536752
ENSG00000106077,ABHD11,83451,protein_coding,chr7:73150424-73153197,1.586016949,5.46E-60,6.64E-58,20.19486822
ENSG00000147382,FAM58A,NA,protein_coding,chrX:152853377-152865500,-1.621282377,5.46E-60,6.64E-58,-20.1947143
ENSG00000198830,HMGN2,3151,protein_coding,chr1:26798941-26802463,1.653110199,5.17E-60,6.35E-58,20.20083507
ENSG00000136160,EDNRB,1910,protein_coding,chr13:78469616-78493903,-2.438849942,5.90E-60,7.13E-58,-20.18627404
ENSG00000196405,EVL,51466,protein_coding,chr14:100437786-100610573,1.634248057,6.28E-60,7.54E-58,20.17956755
ENSG00000105325,FZR1,51343,protein_coding,chr19:3506271-3538328,1.430158269,7.92E-60,9.41E-58,20.15418995
ENSG00000129292,PHF20L1,51105,protein_coding,chr8:133787618-133861052,-1.372985088,7.41E-60,8.85E-58,-20.16144256
ENSG00000187079,TEAD1,7003,protein_coding,chr11:12695969-12966298,-1.555261113,1.04E-59,1.23E-57,-20.12415477
ENSG00000105894,PTN,5764,protein_coding,chr7:136912088-137028611,3.126970417,1.12E-59,1.31E-57,20.11660233
ENSG00000172292,CERS6,253782,protein_coding,chr2:169312372-169631644,-1.481474786,1.28E-59,1.50E-57,-20.10152637
ENSG00000124151,NCOA3,8202,protein_coding,chr20:46130601-46285621,-1.573729625,1.94E-59,2.26E-57,-20.05623251
ENSG00000187922,LCN10,414332,protein_coding,chr9:139632619-139637808,-6.571854974,2.07E-59,2.38E-57,-20.04915345
ENSG00000134294,SLC38A2,54407,protein_coding,chr12:46751972-46766650,-1.743532981,2.11E-59,2.41E-57,-20.04720474
ENSG00000074047,GLI2,2736,protein_coding,chr2:121493199-121750229,2.541240762,1.97E-59,2.28E-57,20.05453968
ENSG00000147649,MTDH,92140,protein_coding,chr8:98656407-98740998,-1.278642943,2.38E-59,2.71E-57,-20.03388182
ENSG00000135678,CPM,1368,protein_coding,chr12:69235977-69365350,-2.670754304,2.68E-59,3.03E-57,-20.0209521
ENSG00000175356,SCUBE2,57758,protein_coding,chr11:9041071-9159661,4.895513178,4.56E-59,5.12E-57,19.96326046
ENSG00000197299,BLM,641,protein_coding,chr15:91260558-91358859,-3.944463246,4.67E-59,5.22E-57,-19.96053625
ENSG00000108061,SHOC2,8036,protein_coding,chr10:112679301-112773425,-1.307253807,5.32E-59,5.91E-57,-19.94642491
ENSG00000105472,CLEC11A,6320,protein_coding,chr19:51226586-51228974,2.378210507,6.83E-59,7.55E-57,19.91909892
ENSG00000153989,NUS1,116150,protein_coding,chr6:117996665-118031803,-1.327191512,9.48E-59,1.04E-56,-19.88333403
ENSG00000198517,MAFK,7975,protein_coding,chr7:1570350-1582679,1.897748178,1.48E-58,1.62E-56,19.83486905
ENSG00000239697,TNFSF12,8742,protein_coding,chr17:7452208-7464925,1.446562069,1.87E-58,2.03E-56,19.80956907
ENSG00000126858,RHOT1,55288,protein_coding,chr17:30469473-30580393,-1.402940484,2.02E-58,2.18E-56,-19.80108425
ENSG00000136758,YME1L1,10730,protein_coding,chr10:27399383-27444195,-1.18363996,2.24E-58,2.42E-56,-19.78940413
ENSG00000182667,NTM,50863,protein_coding,chr11:131240373-132206716,3.360387241,2.47E-58,2.64E-56,19.77873785
ENSG00000137710,RDX,5962,protein_coding,chr11:110045605-110167447,-1.34890214,2.36E-58,2.53E-56,-19.78399969
ENSG00000187955,COL14A1,7373,protein_coding,chr8:121072019-121384275,3.55763938,4.56E-58,4.83E-56,19.7122483
ENSG00000165449,SLC16A9,220963,protein_coding,chr10:61410523-61495760,3.416058297,5.50E-58,5.78E-56,19.69164454
ENSG00000145833,DDX46,9879,protein_coding,chr5:134094469-134190823,-1.303631078,5.21E-58,5.50E-56,-19.69753044
ENSG00000187840,EIF4EBP1,1978,protein_coding,chr8:37887859-37917883,-1.966997904,6.26E-58,6.51E-56,-19.6775773
ENSG00000100206,DMC1,11144,protein_coding,chr22:38914954-38966291,2.886558986,5.60E-58,5.85E-56,19.68971492
ENSG00000118454,ANKRD13C,81573,protein_coding,chr1:70726271-70820417,-1.309608364,8.08E-58,8.31E-56,-19.6498459
ENSG00000092148,HECTD1,25831,protein_coding,chr14:31569318-31677010,-1.362808671,1.14E-57,1.16E-55,-19.61265395
ENSG00000166401,SERPINB8,5271,protein_coding,chr18:61637159-61672278,-1.88779678,1.56E-57,1.59E-55,-19.57835474
ENSG00000153207,AHCTF1,25909,protein_coding,chr1:247002400-247095280,-1.41717505,2.22E-57,2.25E-55,-19.53955162
ENSG00000149575,SCN2B,6327,protein_coding,chr11:118032666-118047388,2.723441371,2.50E-57,2.52E-55,19.52680002
ENSG00000156535,CD109,135228,protein_coding,chr6:74405508-74538040,-1.959410514,2.90E-57,2.91E-55,-19.51056097
ENSG00000125869,LAMP5,24141,protein_coding,chr20:9495005-9511171,7.029535438,6.54E-58,6.76E-56,19.6728384
ENSG00000145623,OSMR,9180,protein_coding,chr5:38845960-38945698,-1.958860258,3.77E-57,3.75E-55,-19.48201248
ENSG00000163812,ZDHHC3,51304,protein_coding,chr3:44956749-45017677,-1.320874867,3.59E-57,3.59E-55,-19.48738927
ENSG00000180353,HCLS1,3059,protein_coding,chr3:121350246-121379774,-1.652333862,4.17E-57,4.13E-55,-19.47105478
ENSG00000071537,SEL1L,6400,protein_coding,chr14:81937893-82000205,-1.31228504,4.59E-57,4.52E-55,-19.46073931
ENSG00000136867,SLC31A2,1318,protein_coding,chr9:115913222-115926417,-1.814083757,6.17E-57,6.05E-55,-19.42845673
ENSG00000165698,C9orf9,11092,protein_coding,chr9:135753414-135765588,1.76044186,7.30E-57,7.12E-55,19.41012276
ENSG00000144857,BOC,91653,protein_coding,chr3:112929850-113006303,2.112638482,7.43E-57,7.18E-55,19.40818058
ENSG00000012779,ALOX5,240,protein_coding,chr10:45869661-45941561,-1.982789185,8.08E-57,7.77E-55,-19.39908547
ENSG00000117592,PRDX6,9588,protein_coding,chr1:173446405-173457946,-1.576666437,7.42E-57,7.18E-55,-19.40828786
ENSG00000095587,TLL2,7093,protein_coding,chr10:98124363-98273675,2.99913466,9.22E-57,8.83E-55,19.38470589
ENSG00000143119,CD53,963,protein_coding,chr1:111415775-111442550,-1.651340104,1.05E-56,9.97E-55,-19.37053717
ENSG00000265542,RP11-60A24.3,NA,lincRNA,chr17:55849307-55912110,-5.005409512,1.03E-56,9.83E-55,-19.37256767
ENSG00000129244,ATP1B2,482,protein_coding,chr17:7549945-7561086,2.464892953,2.01E-56,1.87E-54,19.29997672
